city,year,weekofyear,total_cases
sj,2008,18,94
sj,2008,19,31
sj,2008,20,20
sj,2008,21,27
sj,2008,22,180
sj,2008,23,53
sj,2008,24,13
sj,2008,25,24
sj,2008,26,23
sj,2008,27,140
sj,2008,28,16
sj,2008,29,19
sj,2008,30,48
sj,2008,31,28
sj,2008,32,6
sj,2008,33,18
sj,2008,34,76
sj,2008,35,19
sj,2008,36,13
sj,2008,37,23
sj,2008,38,23
sj,2008,39,51
sj,2008,40,48
sj,2008,41,8
sj,2008,42,16
sj,2008,43,13
sj,2008,44,27
sj,2008,45,44
sj,2008,46,41
sj,2008,47,26
sj,2008,48,32
sj,2008,49,21
sj,2008,50,27
sj,2008,51,36
sj,2008,52,27
sj,2009,1,27
sj,2009,2,27
sj,2009,3,27
sj,2009,4,12
sj,2009,5,27
sj,2009,6,27
sj,2009,7,27
sj,2009,8,109
sj,2009,9,4
sj,2009,10,16
sj,2009,11,102
sj,2009,12,27
sj,2009,13,12
sj,2009,14,15
sj,2009,15,27
sj,2009,16,27
sj,2009,17,18
sj,2009,18,12
sj,2009,19,38
sj,2009,20,22
sj,2009,21,17
sj,2009,22,23
sj,2009,23,60
sj,2009,24,16
sj,2009,25,50
sj,2009,26,16
sj,2009,27,25
sj,2009,28,30
sj,2009,29,14
sj,2009,30,39
sj,2009,31,5
sj,2009,32,17
sj,2009,33,53
sj,2009,34,17
sj,2009,35,14
sj,2009,36,6
sj,2009,37,13
sj,2009,38,3
sj,2009,39,29
sj,2009,40,45
sj,2009,41,64
sj,2009,42,41
sj,2009,43,32
sj,2009,44,46
sj,2009,45,27
sj,2009,46,31
sj,2009,47,24
sj,2009,48,10
sj,2009,49,125
sj,2009,50,27
sj,2009,51,26
sj,2009,52,27
sj,2010,53,27
sj,2010,1,27
sj,2010,2,26
sj,2010,3,27
sj,2010,4,14
sj,2010,5,27
sj,2010,6,27
sj,2010,7,27
sj,2010,8,17
sj,2010,9,27
sj,2010,10,27
sj,2010,11,27
sj,2010,12,19
sj,2010,13,27
sj,2010,14,109
sj,2010,15,27
sj,2010,16,9
sj,2010,17,47
sj,2010,18,49
sj,2010,19,55
sj,2010,20,140
sj,2010,21,101
sj,2010,22,23
sj,2010,23,25
sj,2010,24,60
sj,2010,25,21
sj,2010,26,59
sj,2010,27,35
sj,2010,28,9
sj,2010,29,18
sj,2010,30,36
sj,2010,31,47
sj,2010,32,85
sj,2010,33,34
sj,2010,34,9
sj,2010,35,96
sj,2010,36,46
sj,2010,37,8
sj,2010,38,7
sj,2010,39,37
sj,2010,40,15
sj,2010,41,33
sj,2010,42,18
sj,2010,43,31
sj,2010,44,102
sj,2010,45,16
sj,2010,46,17
sj,2010,47,28
sj,2010,48,33
sj,2010,49,27
sj,2010,50,10
sj,2010,51,13
sj,2011,52,7
sj,2011,1,11
sj,2011,2,7
sj,2011,3,25
sj,2011,4,27
sj,2011,5,27
sj,2011,6,27
sj,2011,7,27
sj,2011,8,27
sj,2011,9,23
sj,2011,10,51
sj,2011,11,27
sj,2011,12,27
sj,2011,13,13
sj,2011,14,26
sj,2011,15,27
sj,2011,16,76
sj,2011,17,43
sj,2011,18,15
sj,2011,19,3
sj,2011,20,82
sj,2011,21,46
sj,2011,22,21
sj,2011,23,43
sj,2011,24,31
sj,2011,25,32
sj,2011,26,59
sj,2011,27,48
sj,2011,28,9
sj,2011,29,46
sj,2011,30,9
sj,2011,31,17
sj,2011,32,38
sj,2011,33,8
sj,2011,34,20
sj,2011,35,20
sj,2011,36,56
sj,2011,37,11
sj,2011,38,17
sj,2011,39,57
sj,2011,40,34
sj,2011,41,6
sj,2011,42,15
sj,2011,43,18
sj,2011,44,39
sj,2011,45,17
sj,2011,46,11
sj,2011,47,27
sj,2011,48,32
sj,2011,49,17
sj,2011,50,31
sj,2011,51,27
sj,2012,52,13
sj,2012,1,27
sj,2012,2,27
sj,2012,3,27
sj,2012,4,27
sj,2012,5,27
sj,2012,6,21
sj,2012,7,27
sj,2012,8,27
sj,2012,9,27
sj,2012,10,36
sj,2012,11,12
sj,2012,12,19
sj,2012,13,18
sj,2012,14,57
sj,2012,15,21
sj,2012,16,12
sj,2012,17,13
sj,2012,18,3
sj,2012,19,31
sj,2012,20,145
sj,2012,21,208
sj,2012,22,285
sj,2012,23,10
sj,2012,24,30
sj,2012,25,100
sj,2012,26,27
sj,2012,27,8
sj,2012,28,6
sj,2012,29,107
sj,2012,30,27
sj,2012,31,240
sj,2012,32,25
sj,2012,33,44
sj,2012,34,32
sj,2012,35,59
sj,2012,36,30
sj,2012,37,23
sj,2012,38,13
sj,2012,39,23
sj,2012,40,28
sj,2012,41,17
sj,2012,42,48
sj,2012,43,28
sj,2012,44,34
sj,2012,45,44
sj,2012,46,7
sj,2012,47,35
sj,2012,48,8
sj,2012,49,80
sj,2012,50,12
sj,2012,51,27
sj,2013,1,37
sj,2013,2,27
sj,2013,3,27
sj,2013,4,27
sj,2013,5,27
sj,2013,6,27
sj,2013,7,27
sj,2013,8,27
sj,2013,9,27
sj,2013,10,43
sj,2013,11,27
sj,2013,12,27
sj,2013,13,33
sj,2013,14,13
sj,2013,15,27
sj,2013,16,27
sj,2013,17,54
iq,2010,26,6
iq,2010,27,5
iq,2010,28,4
iq,2010,29,2
iq,2010,30,2
iq,2010,31,0
iq,2010,32,5
iq,2010,33,0
iq,2010,34,3
iq,2010,35,1
iq,2010,36,5
iq,2010,37,0
iq,2010,38,6
iq,2010,39,2
iq,2010,40,2
iq,2010,41,12
iq,2010,42,20
iq,2010,43,4
iq,2010,44,1
iq,2010,45,5
iq,2010,46,1
iq,2010,47,8
iq,2010,48,5
iq,2010,49,25
iq,2010,50,1
iq,2010,51,5
iq,2011,52,8
iq,2011,1,2
iq,2011,2,19
iq,2011,3,2
iq,2011,4,55
iq,2011,5,2
iq,2011,6,8
iq,2011,7,4
iq,2011,8,5
iq,2011,9,1
iq,2011,10,31
iq,2011,11,30
iq,2011,12,14
iq,2011,13,4
iq,2011,14,3
iq,2011,15,4
iq,2011,16,3
iq,2011,17,0
iq,2011,18,1
iq,2011,19,23
iq,2011,20,4
iq,2011,21,4
iq,2011,22,2
iq,2011,23,9
iq,2011,24,4
iq,2011,25,8
iq,2011,26,4
iq,2011,27,3
iq,2011,28,19
iq,2011,29,10
iq,2011,30,3
iq,2011,31,6
iq,2011,32,3
iq,2011,33,2
iq,2011,34,0
iq,2011,35,1
iq,2011,36,6
iq,2011,37,3
iq,2011,38,3
iq,2011,39,3
iq,2011,40,4
iq,2011,41,6
iq,2011,42,0
iq,2011,43,1
iq,2011,44,15
iq,2011,45,6
iq,2011,46,9
iq,2011,47,6
iq,2011,48,19
iq,2011,49,3
iq,2011,50,2
iq,2011,51,3
iq,2012,52,6
iq,2012,1,10
iq,2012,2,5
iq,2012,3,14
iq,2012,4,5
iq,2012,5,2
iq,2012,6,15
iq,2012,7,4
iq,2012,8,7
iq,2012,9,12
iq,2012,10,18
iq,2012,11,17
iq,2012,12,1
iq,2012,13,2
iq,2012,14,31
iq,2012,15,2
iq,2012,16,14
iq,2012,17,32
iq,2012,18,19
iq,2012,19,2
iq,2012,20,2
iq,2012,21,5
iq,2012,22,2
iq,2012,23,6
iq,2012,24,4
iq,2012,25,18
iq,2012,26,0
iq,2012,27,4
iq,2012,28,5
iq,2012,29,8
iq,2012,30,7
iq,2012,31,7
iq,2012,32,0
iq,2012,33,0
iq,2012,34,8
iq,2012,35,26
iq,2012,36,4
iq,2012,37,5
iq,2012,38,1
iq,2012,39,11
iq,2012,40,9
iq,2012,41,3
iq,2012,42,1
iq,2012,43,7
iq,2012,44,7
iq,2012,45,7
iq,2012,46,7
iq,2012,47,9
iq,2012,48,5
iq,2012,49,8
iq,2012,50,31
iq,2012,51,1
iq,2013,1,8
iq,2013,2,10
iq,2013,3,5
iq,2013,4,4
iq,2013,5,8
iq,2013,6,1
iq,2013,7,7
iq,2013,8,0
iq,2013,9,7
iq,2013,10,1
iq,2013,11,5
iq,2013,12,5
iq,2013,13,12
iq,2013,14,21
iq,2013,15,8
iq,2013,16,16
iq,2013,17,14
iq,2013,18,0
iq,2013,19,1
iq,2013,20,3
iq,2013,21,5
iq,2013,22,11
iq,2013,23,7
iq,2013,24,3
iq,2013,25,2
iq,2013,26,0
