city,year,weekofyear,total_cases
sj,2008,18,13
sj,2008,19,13
sj,2008,20,13
sj,2008,21,13
sj,2008,22,13
sj,2008,23,13
sj,2008,24,14
sj,2008,25,15
sj,2008,26,17
sj,2008,27,19
sj,2008,28,23
sj,2008,29,31
sj,2008,30,37
sj,2008,31,41
sj,2008,32,44
sj,2008,33,53
sj,2008,34,53
sj,2008,35,56
sj,2008,36,58
sj,2008,37,56
sj,2008,38,61
sj,2008,39,58
sj,2008,40,63
sj,2008,41,69
sj,2008,42,63
sj,2008,43,59
sj,2008,44,74
sj,2008,45,64
sj,2008,46,62
sj,2008,47,60
sj,2008,48,55
sj,2008,49,45
sj,2008,50,36
sj,2008,51,33
sj,2008,52,32
sj,2009,1,32
sj,2009,2,31
sj,2009,3,31
sj,2009,4,29
sj,2009,5,26
sj,2009,6,20
sj,2009,7,18
sj,2009,8,16
sj,2009,9,15
sj,2009,10,14
sj,2009,11,13
sj,2009,12,13
sj,2009,13,13
sj,2009,14,13
sj,2009,15,13
sj,2009,16,13
sj,2009,17,13
sj,2009,18,13
sj,2009,19,13
sj,2009,20,13
sj,2009,21,13
sj,2009,22,13
sj,2009,23,13
sj,2009,24,14
sj,2009,25,15
sj,2009,26,17
sj,2009,27,19
sj,2009,28,23
sj,2009,29,32
sj,2009,30,36
sj,2009,31,40
sj,2009,32,47
sj,2009,33,52
sj,2009,34,51
sj,2009,35,54
sj,2009,36,57
sj,2009,37,59
sj,2009,38,61
sj,2009,39,62
sj,2009,40,63
sj,2009,41,63
sj,2009,42,64
sj,2009,43,81
sj,2009,44,65
sj,2009,45,64
sj,2009,46,59
sj,2009,47,54
sj,2009,48,54
sj,2009,49,45
sj,2009,50,36
sj,2009,51,33
sj,2009,52,32
sj,2010,53,31
sj,2010,1,32
sj,2010,2,31
sj,2010,3,31
sj,2010,4,29
sj,2010,5,26
sj,2010,6,20
sj,2010,7,18
sj,2010,8,16
sj,2010,9,15
sj,2010,10,14
sj,2010,11,13
sj,2010,12,13
sj,2010,13,13
sj,2010,14,13
sj,2010,15,13
sj,2010,16,13
sj,2010,17,13
sj,2010,18,13
sj,2010,19,13
sj,2010,20,13
sj,2010,21,13
sj,2010,22,13
sj,2010,23,13
sj,2010,24,14
sj,2010,25,15
sj,2010,26,17
sj,2010,27,19
sj,2010,28,22
sj,2010,29,30
sj,2010,30,36
sj,2010,31,41
sj,2010,32,51
sj,2010,33,49
sj,2010,34,53
sj,2010,35,55
sj,2010,36,58
sj,2010,37,59
sj,2010,38,60
sj,2010,39,63
sj,2010,40,60
sj,2010,41,59
sj,2010,42,72
sj,2010,43,74
sj,2010,44,65
sj,2010,45,58
sj,2010,46,59
sj,2010,47,68
sj,2010,48,59
sj,2010,49,45
sj,2010,50,37
sj,2010,51,33
sj,2011,52,32
sj,2011,1,32
sj,2011,2,31
sj,2011,3,31
sj,2011,4,29
sj,2011,5,26
sj,2011,6,20
sj,2011,7,18
sj,2011,8,16
sj,2011,9,15
sj,2011,10,14
sj,2011,11,13
sj,2011,12,13
sj,2011,13,13
sj,2011,14,13
sj,2011,15,13
sj,2011,16,13
sj,2011,17,13
sj,2011,18,13
sj,2011,19,13
sj,2011,20,13
sj,2011,21,13
sj,2011,22,13
sj,2011,23,13
sj,2011,24,14
sj,2011,25,15
sj,2011,26,17
sj,2011,27,19
sj,2011,28,22
sj,2011,29,27
sj,2011,30,33
sj,2011,31,38
sj,2011,32,46
sj,2011,33,49
sj,2011,34,50
sj,2011,35,54
sj,2011,36,58
sj,2011,37,59
sj,2011,38,58
sj,2011,39,62
sj,2011,40,63
sj,2011,41,63
sj,2011,42,64
sj,2011,43,66
sj,2011,44,73
sj,2011,45,58
sj,2011,46,59
sj,2011,47,68
sj,2011,48,55
sj,2011,49,45
sj,2011,50,48
sj,2011,51,33
sj,2012,52,32
sj,2012,1,32
sj,2012,2,31
sj,2012,3,31
sj,2012,4,29
sj,2012,5,26
sj,2012,6,20
sj,2012,7,18
sj,2012,8,16
sj,2012,9,15
sj,2012,10,14
sj,2012,11,13
sj,2012,12,13
sj,2012,13,13
sj,2012,14,13
sj,2012,15,13
sj,2012,16,13
sj,2012,17,13
sj,2012,18,13
sj,2012,19,13
sj,2012,20,13
sj,2012,21,13
sj,2012,22,13
sj,2012,23,13
sj,2012,24,14
sj,2012,25,15
